config,selection_mode,top_k,strategy,generation,best_fitness,avg_fitness,best_avg_score,best_avg_cost,best_avg_steps,best_eval_time_ms
TopK_K1,top_k,1,full,0,895.4519,895.4519,895.6389,93.5,38.5,1.6
TopK_K1,top_k,1,full,1,928.4406,906.4481,928.5556,57.5,24.5,3.8
TopK_K1,top_k,1,full,2,951.6314,936.1709,951.6944,31.5,30.5,5.2
TopK_K1,top_k,1,full,3,961.0064,954.7564,961.0694,31.5,30.5,1.9
TopK_K1,top_k,1,random_only,0,895.4519,895.4519,895.6389,93.5,38.5,1.6
TopK_K1,top_k,1,random_only,1,895.4519,895.4519,895.6389,93.5,38.5,1.4
TopK_K1,top_k,1,random_only,2,895.4519,596.6015,895.6389,93.5,38.5,1.4
TopK_K1,top_k,1,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,1.4
TopK_K3,top_k,3,full,0,895.4519,447.2249,895.6389,93.5,38.5,1.6
TopK_K3,top_k,3,full,1,928.4406,543.4681,928.5556,57.5,24.5,3.8
TopK_K3,top_k,3,full,2,951.6314,915.8114,951.6944,31.5,30.5,5.5
TopK_K3,top_k,3,full,3,960.4231,941.5013,960.4861,31.5,30.5,2.3
TopK_K3,top_k,3,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,1.7
TopK_K3,top_k,3,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,1.3
TopK_K3,top_k,3,random_only,2,895.4519,596.6339,895.6389,93.5,38.5,1.4
TopK_K3,top_k,3,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,1.4
TopK_K5,top_k,5,full,0,895.4519,447.2249,895.6389,93.5,38.5,1.6
TopK_K5,top_k,5,full,1,928.4406,543.4681,928.5556,57.5,24.5,4
TopK_K5,top_k,5,full,2,928.4406,601.7857,928.5556,57.5,24.5,4
TopK_K5,top_k,5,full,3,951.6314,914.8451,951.6944,31.5,30.5,5.3
TopK_K5,top_k,5,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,2.1
TopK_K5,top_k,5,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,1.3
TopK_K5,top_k,5,random_only,2,895.4519,511.2574,895.6389,93.5,38.5,1.3
TopK_K5,top_k,5,random_only,3,895.4519,767.387,895.6389,93.5,38.5,1.3
Diversity_K3,diversity,3,full,0,895.4519,447.2249,895.6389,93.5,38.5,1.6
Diversity_K3,diversity,3,full,1,928.4406,543.4681,928.5556,57.5,24.5,3.7
Diversity_K3,diversity,3,full,2,951.6314,915.8114,951.6944,31.5,30.5,5.3
Diversity_K3,diversity,3,full,3,961.0064,939.7188,961.0694,31.5,30.5,2.1
Diversity_K3,diversity,3,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,1.6
Diversity_K3,diversity,3,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,1.4
Diversity_K3,diversity,3,random_only,2,895.4519,596.6339,895.6389,93.5,38.5,1.3
Diversity_K3,diversity,3,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,1.3
