config,w1,w2,w3,strategy,generation,best_fitness,avg_fitness,best_avg_score,best_avg_cost,best_avg_steps,best_avg_cells_accessed,best_eval_time_ms,best_success_rate
A_score_heavy,0.9,0.09,0.01,full,0,895.6295,447.3147,895.6389,93.5,38.5,116.0,1.8,1.0
A_score_heavy,0.9,0.09,0.01,full,1,928.5498,543.5617,928.5556,57.5,24.5,324.5,6.1,1.0
A_score_heavy,0.9,0.09,0.01,full,2,951.6913,784.9542,951.6944,31.5,30.5,347.5,4.5,1.0
A_score_heavy,0.9,0.09,0.01,full,3,960.483,941.5858,960.4861,31.5,30.5,113.5,2.2,1.0
A_score_heavy,0.9,0.09,0.01,full,4,961.0663,955.5425,961.0694,31.5,30.5,97.5,2.0,1.0
A_score_heavy,0.9,0.09,0.01,random_only,0,895.6295,447.3147,895.6389,93.5,38.5,116.0,1.6,1.0
A_score_heavy,0.9,0.09,0.01,random_only,1,895.6295,447.3147,895.6389,93.5,38.5,116.0,1.6,1.0
A_score_heavy,0.9,0.09,0.01,random_only,2,895.6295,511.3597,895.6389,93.5,38.5,116.0,1.4,1.0
A_score_heavy,0.9,0.09,0.01,random_only,3,895.6295,895.6295,895.6389,93.5,38.5,116.0,1.3,1.0
A_score_heavy,0.9,0.09,0.01,random_only,4,895.6295,895.6295,895.6389,93.5,38.5,116.0,1.2,1.0
B_baseline,0.5,0.3,0.2,full,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,full,1,928.4406,543.4681,928.5556,57.5,24.5,324.5,4.0,1.0
B_baseline,0.5,0.3,0.2,full,2,951.6314,784.838,951.6944,31.5,30.5,347.5,5.2,1.0
B_baseline,0.5,0.3,0.2,full,3,961.0064,941.5985,961.0694,31.5,30.5,97.5,1.9,1.0
B_baseline,0.5,0.3,0.2,full,4,961.0064,955.6493,961.0694,31.5,30.5,97.5,2.1,1.0
B_baseline,0.5,0.3,0.2,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,random_only,2,895.4519,511.2574,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,2.1,1.0
C_balanced,0.25,0.25,0.5,full,0,895.1714,447.0832,895.6389,93.5,38.5,116.0,1.7,1.0
C_balanced,0.25,0.25,0.5,full,1,928.2681,543.3202,928.5556,57.5,24.5,324.5,3.8,1.0
C_balanced,0.25,0.25,0.5,full,2,951.5369,784.6546,951.6944,31.5,30.5,347.5,5.3,1.0
C_balanced,0.25,0.25,0.5,full,3,960.9119,941.465,961.0694,31.5,30.5,97.5,1.9,1.0
C_balanced,0.25,0.25,0.5,full,4,960.9119,956.2244,961.0694,31.5,30.5,97.5,2.1,1.0
C_balanced,0.25,0.25,0.5,random_only,0,895.1714,447.0832,895.6389,93.5,38.5,116.0,1.7,1.0
C_balanced,0.25,0.25,0.5,random_only,1,895.1714,447.0832,895.6389,93.5,38.5,116.0,1.7,1.0
C_balanced,0.25,0.25,0.5,random_only,2,895.1714,511.0958,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.25,0.25,0.5,random_only,3,895.1714,895.1714,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.25,0.25,0.5,random_only,4,895.1714,895.1714,895.6389,93.5,38.5,116.0,1.3,1.0
D_cost_heavy,0.05,0.05,0.9,full,0,894.7974,446.8942,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0.05,0.05,0.9,full,1,928.0381,543.123,928.5556,57.5,24.5,324.5,3.7,1.0
D_cost_heavy,0.05,0.05,0.9,full,2,951.4109,784.41,951.6944,31.5,30.5,347.5,5.2,1.0
D_cost_heavy,0.05,0.05,0.9,full,3,960.2026,941.1898,960.4861,31.5,30.5,113.5,2.2,1.0
D_cost_heavy,0.05,0.05,0.9,full,4,960.7859,955.2621,961.0694,31.5,30.5,97.5,2.0,1.0
D_cost_heavy,0.05,0.05,0.9,random_only,0,894.7974,446.8942,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0.05,0.05,0.9,random_only,1,894.7974,446.8942,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0.05,0.05,0.9,random_only,2,894.7974,510.8804,895.6389,93.5,38.5,116.0,1.5,1.0
D_cost_heavy,0.05,0.05,0.9,random_only,3,894.7974,894.7974,895.6389,93.5,38.5,116.0,1.3,1.0
D_cost_heavy,0.05,0.05,0.9,random_only,4,894.7974,894.7974,895.6389,93.5,38.5,116.0,1.3,1.0
